"filename", "language", "Markdown", "Image", "CSS", "XML", "JavaScript", "JSON", "Pug", "Environment Variables", "YAML", "comment", "blank", "total"
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/AdminService/views/dashboard.pug", "Pug", 0, 0, 0, 0, 0, 0, 54, 0, 0, 11, 19, 84
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/AdminService/views/error.pug", "Pug", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/AdminService/views/flightForm.pug", "Pug", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/AdminService/views/layout.pug", "Pug", 0, 0, 0, 0, 0, 0, 46, 0, 0, 4, 14, 64
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/AdminService/views/searchForm.pug", "Pug", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/AdminService/webpack.config.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 28, 9, 83
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/app.js", "JavaScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 31, 21, 117
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/controllers/ticketController.js", "JavaScript", 0, 0, 0, 0, 143, 0, 0, 0, 0, 37, 42, 222
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/handlers/errorHandlers.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 29, 8, 75
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/helpers.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 11, 48
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/models/Tickets.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/package-lock.json", "JSON", 0, 0, 0, 0, 0, 23878, 0, 0, 0, 0, 1, 23879
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/package.json", "JSON", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 4, 73
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_blogs.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 4, 112
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_flashes.css", "CSS", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 84
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_flight.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 5, 78
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_forms.css", "CSS", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 2, 70
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_helpers.css", "CSS", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 8, 105
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_inner.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
